,date,close,diff,open,high,low,volume,diff+-,up/down
512,2019-01-11,13650,100,13550,13700,13450,974342,100.0,1
513,2019-01-10,13550,100,13600,13700,13500,963101,-100.0,0
514,2019-01-09,13650,200,13450,13700,13400,800438,200.0,1
515,2019-01-08,13450,150,13300,13450,13100,972156,150.0,1
519,2019-01-07,13300,50,13450,13600,13150,1968026,-50.0,0
520,2019-01-04,13350,300,13600,13600,13300,1301930,-300.0,0
521,2019-01-03,13650,100,13600,13750,13450,1236205,100.0,1
522,2019-01-02,13550,500,13950,14000,13350,1546090,-500.0,0
523,2018-12-28,14050,0,14050,14200,13900,1530971,0.0,none
526,2018-12-27,14050,850,14450,14500,14000,2245045,-850.0,0
527,2018-12-26,14900,150,14900,15000,14600,1849831,-150.0,0
528,2018-12-24,15050,200,15200,15200,14950,976242,-200.0,0
529,2018-12-21,15250,100,15200,15250,15000,1072604,100.0,1
530,2018-12-20,15150,100,15050,15200,14950,880255,100.0,1
534,2018-12-19,15050,50,15000,15150,14900,923351,50.0,1
535,2018-12-18,15000,200,14800,15000,14700,1012790,200.0,1
536,2018-12-17,14800,150,14950,15050,14750,967506,-150.0,0
537,2018-12-14,14950,300,14700,14950,14650,840396,300.0,1
538,2018-12-13,14650,150,14600,14850,14550,1493137,150.0,1
541,2018-12-12,14500,150,14450,14650,14350,1060310,150.0,1
542,2018-12-11,14350,100,14450,14500,14300,823993,-100.0,0
543,2018-12-10,14450,350,14650,14700,14300,1371465,-350.0,0
544,2018-12-07,14800,0,14850,14900,14750,410497,0.0,none
545,2018-12-06,14800,50,14900,14900,14750,529187,-50.0,0
549,2018-12-05,14850,50,14800,14900,14600,924151,-50.0,0
550,2018-12-04,14900,100,14850,14900,14750,666625,100.0,1
551,2018-12-03,14800,0,14900,15000,14800,688322,0.0,none
552,2018-11-30,14800,300,15100,15150,14750,1080009,-300.0,0
553,2018-11-29,15100,150,15050,15150,15000,556390,150.0,1
556,2018-11-28,14950,150,15150,15200,14850,698373,-150.0,0
557,2018-11-27,15100,0,15100,15200,15000,477052,0.0,none
558,2018-11-26,15100,50,15100,15150,14950,448449,50.0,1
559,2018-11-23,15050,0,15050,15100,15000,342016,0.0,none
560,2018-11-22,15050,150,14900,15100,14850,368775,150.0,1
564,2018-11-21,14900,100,14900,15000,14850,438049,-100.0,0
565,2018-11-20,15000,100,14850,15050,14750,502274,100.0,1
566,2018-11-19,14900,150,14950,15100,14850,581532,-150.0,0
